QuickSort	100	991	504	40900
QuickSort	200	1661	988	272100
QuickSort	300	2875	1680	36100
QuickSort	400	3962	2051	37200
QuickSort	500	5500	3413	40600
QuickSort	600	6267	3148	67500
QuickSort	700	8196	4592	45500
QuickSort	800	8841	4180	40200
QuickSort	900	10783	5067	66900
QuickSort	1000	11075	6241	65300
QuickSort	1100	13760	6361	55200
QuickSort	1200	16311	8103	59200
QuickSort	1300	16562	9219	78100
QuickSort	1400	17872	10401	104400
QuickSort	1500	19113	9334	161700
QuickSort	1600	19863	10431	80100
QuickSort	1700	21278	10411	86200
QuickSort	1800	24202	12511	113000
QuickSort	1900	23239	11495	96600
QuickSort	2000	27097	13007	103900
QuickSort	2100	27818	14050	109400
QuickSort	2200	30076	15722	114100
QuickSort	2300	30768	14995	119100
QuickSort	2400	30718	15580	124400
QuickSort	2500	32926	18038	128300
QuickSort	2600	32598	17468	136100
QuickSort	2700	34540	18059	140700
QuickSort	2800	37055	19543	145600
QuickSort	2900	41012	21547	156200
QuickSort	3000	47395	27342	194300
QuickSort	3100	43574	21264	163600
QuickSort	3200	42974	22471	170500
QuickSort	3300	43427	23153	436300
QuickSort	3400	48652	26122	183600
QuickSort	3500	54465	30866	191900
QuickSort	3600	51818	27843	196500
QuickSort	3700	54088	28911	198600
QuickSort	3800	50485	24863	204000
QuickSort	3900	52966	25793	214900
QuickSort	4000	55898	29777	216000
QuickSort	4100	58388	32824	253400
QuickSort	4200	60902	33060	229400
QuickSort	4300	63272	34891	383600
QuickSort	4400	65396	33626	272800
QuickSort	4500	68952	36800	379100
QuickSort	4600	72244	30744	251400
QuickSort	4700	70395	40185	267200
QuickSort	4800	65599	34916	272300
QuickSort	4900	67903	35106	272100
QuickSort	5000	70997	39330	275200
QuickSort	5100	72243	37050	279000
QuickSort	5200	89541	42186	288800
QuickSort	5300	86469	52234	1764500
QuickSort	5400	76795	37351	346800
QuickSort	5500	83818	45163	306400
QuickSort	5600	84962	44458	863200
QuickSort	5700	85122	45471	319900
QuickSort	5800	88728	48697	320800
QuickSort	5900	88608	44752	326600
